dgp_name,n_obs,n_covariates,n_folds,mean_mae,mean_rmse,mean_coverage,mean_se_ratio,mean_nuisance_r2_y,mean_nuisance_r2_d,n_scenarios
sparse_linear_independent,500,150,2,0.2468482697818761,0.2517549072996779,0.0,0.8477504202895224,0.2233529781964602,0.1752594703630538,1
sparse_linear_independent,500,150,5,0.2263321266070136,0.2310983007120012,0.0,0.9398770184892546,0.2654745074200517,0.2046255047696996,1
sparse_linear_independent,500,150,10,0.1959095019738979,0.2010602342138757,0.0,0.944216683444194,0.2744834080040181,0.2091028594910634,1
sparse_linear_independent,500,300,2,0.2558395724052003,0.26006516479103,0.0,0.8870368802345697,0.1648396364424879,0.1377130792274899,1
sparse_linear_independent,500,300,5,0.2373351296711987,0.2423391307731461,0.0,0.8806226967575694,0.1979201803839483,0.1523833535513383,1
sparse_linear_independent,500,300,10,0.2439421660521477,0.246860951228953,0.0,1.0946757734410315,0.1930746470549935,0.1443958817142444,1
sparse_linear_independent,1000,25,2,0.0915864311380573,0.1004525805725474,0.4,0.7567332292134319,0.5245062332784739,0.4283990450409426,1
sparse_linear_independent,1000,25,5,0.0721628717705754,0.0750772211062709,0.4,1.5079152101465856,0.5563430772568828,0.4569692432048552,1
sparse_linear_independent,1000,25,10,0.0673150329311962,0.0748843728254989,0.2,0.9647700281966868,0.5565615993555755,0.4563464281673244,1
sparse_linear_independent,1000,50,2,0.1258260172598363,0.1285192651731625,0.0,1.167263161968983,0.4496752725524238,0.348071831150205,1
sparse_linear_independent,1000,50,5,0.1200054180435713,0.1210030439436317,0.0,2.0104605034352985,0.47852124462299,0.3787032628769983,1
sparse_linear_independent,1000,50,10,0.1208127644475091,0.1246692621153752,0.0,1.0085881634641285,0.4777004107559861,0.3858585753891342,1
sparse_linear_independent,1000,100,2,0.168729263958394,0.1723663020142002,0.0,0.8828041074866907,0.3591030641825779,0.2833664579788135,1
sparse_linear_independent,1000,100,5,0.1763952534298512,0.1789836131890842,0.0,1.0187446003714469,0.3880768831125961,0.3188379490779794,1
sparse_linear_independent,1000,100,10,0.1653788854051212,0.1672114776177547,0.0,1.2745926769659446,0.3968011913799538,0.3184526210709745,1
sparse_linear_independent,1000,150,2,0.2007043884642278,0.2016535605339761,0.0,1.549279942465454,0.302968545452526,0.2439658717227188,1
sparse_linear_independent,1000,150,5,0.1891896677049821,0.1901878127711629,0.0,1.6295439464833252,0.3338472553189912,0.256688783888045,1
sparse_linear_independent,1000,150,10,0.189671488382682,0.1913919304730671,0.0,1.1853995125470118,0.3517016753969278,0.2725202544207243,1
sparse_linear_independent,1000,300,2,0.2289970538714888,0.2316361926649827,0.0,0.8794390372879998,0.221274863277293,0.1685614349831462,1
sparse_linear_independent,1000,300,5,0.2175941478738386,0.2195482357005334,0.0,1.0471358709627998,0.2775150463602006,0.2084243077431721,1
sparse_linear_independent,1000,300,10,0.2271522714318767,0.2289040728529457,0.0,1.0606351450179927,0.2701642687069125,0.2099151007414929,1
weak_signal_sparse,250,25,2,0.0674696524084619,0.0923184077272729,0.8,0.719536202044676,-0.0016422968091121,-0.0054858757223264,1
weak_signal_sparse,250,25,5,0.0577935092902273,0.0883610424554569,0.9,0.7241242226056284,0.0316306957407087,-0.0184073939110645,1
weak_signal_sparse,250,25,10,0.0659651853815539,0.0746251138960872,0.9,0.8335224474606433,0.0127915050052525,-0.0362496491479319,1
weak_signal_sparse,250,50,2,0.0569500625694334,0.0667580656447323,1.0,0.9773294167141656,0.0178554385506498,-0.0033152572193742,1
weak_signal_sparse,250,50,5,0.0451410212744971,0.0516750362122477,1.0,1.2141412806261482,0.0348095110007207,-0.0052786611280914,1
weak_signal_sparse,250,50,10,0.0465591532962723,0.0573252769663136,1.0,1.1155912151342866,0.0045941915101686,-0.029478952371468,1
weak_signal_sparse,250,100,2,0.0439615816198514,0.0542143410096551,1.0,1.107641453376646,0.0054879007520909,-0.0162246185634347,1
weak_signal_sparse,250,100,5,0.0585110248210325,0.0841773051996286,0.9,0.7406584272243859,-0.0027032080636158,-0.0069817058735105,1
weak_signal_sparse,250,100,10,0.0828921541305543,0.0962302714464595,0.8,0.6292755147907995,-0.0051072288769261,-0.0308362868975484,1
weak_signal_sparse,250,150,2,0.0450677194932108,0.0606370897120103,0.9,1.176493178688463,-0.006146619342031,-0.0136057654715264,1
weak_signal_sparse,250,150,5,0.0493445263659911,0.0656151417835129,1.0,1.2804229320823703,-0.0095961660944316,-0.0164030028285827,1
weak_signal_sparse,250,150,10,0.0507961789272329,0.0603219429749394,1.0,1.1945023466933689,-0.0284296406475071,-0.0444271434114969,1
weak_signal_sparse,250,300,2,0.0645705216614793,0.0759676300701509,0.9,1.1179772288711736,-0.0335585871608534,-0.0274924058870671,1
weak_signal_sparse,250,300,5,0.0492527939025339,0.0632778805326895,0.9,0.9706408162708372,-0.0177859617767201,-0.0256802348092797,1
weak_signal_sparse,250,300,10,0.0709976587708669,0.0776203766360749,0.9,1.0224641231459537,-0.0368580299523149,-0.0358814599559531,1
