scenario_name,dgp_name,learner_name,n_obs,n_covariates,n_folds,mean_fold_ratio,coverage,coverage_gap,absolute_coverage_gap,se_ratio,mae,rmse
sparse_linear_correlated_n1000_p50_k2_random_forest,sparse_linear_correlated,random_forest,1000,50,2,0.1,0.0,-0.95,0.95,1.4791448912239062,0.1318550805749965,0.1332241068690886
sparse_linear_correlated_n1000_p50_k5_random_forest,sparse_linear_correlated,random_forest,1000,50,5,0.0625,0.0,-0.95,0.95,1.0221237261900535,0.1268058676479494,0.1299650232843821
sparse_linear_correlated_n1000_p50_k10_random_forest,sparse_linear_correlated,random_forest,1000,50,10,0.0555555555555554,0.0,-0.95,0.95,1.0164451928226346,0.116834953319863,0.1202646069352929
sparse_linear_correlated_n1000_p100_k2_random_forest,sparse_linear_correlated,random_forest,1000,100,2,0.2,0.0,-0.95,0.95,1.3477195721357436,0.1774845836807387,0.1786795941730309
sparse_linear_correlated_n1000_p100_k5_random_forest,sparse_linear_correlated,random_forest,1000,100,5,0.125,0.0,-0.95,0.95,1.33350225663191,0.1515238691243928,0.1529303964392131
sparse_linear_correlated_n1000_p100_k10_random_forest,sparse_linear_correlated,random_forest,1000,100,10,0.1111111111111111,0.0,-0.95,0.95,1.335467738800677,0.1543614289911722,0.1558598190080439
sparse_linear_correlated_n1000_p150_k2_random_forest,sparse_linear_correlated,random_forest,1000,150,2,0.2999999999999999,0.0,-0.95,0.95,1.89680582448328,0.1950113758564363,0.1954977452853424
sparse_linear_correlated_n1000_p150_k5_random_forest,sparse_linear_correlated,random_forest,1000,150,5,0.1875,0.0,-0.95,0.95,1.5065347731443814,0.1734455918452281,0.1744046755995514
sparse_linear_correlated_n1000_p150_k10_random_forest,sparse_linear_correlated,random_forest,1000,150,10,0.1666666666666665,0.0,-0.95,0.95,0.9579065267393136,0.1621704920630497,0.1646465074409183
sparse_linear_correlated_n1000_p300_k2_random_forest,sparse_linear_correlated,random_forest,1000,300,2,0.5999999999999999,0.0,-0.95,0.95,1.3021117172270753,0.2061634219169925,0.2070465659783615
sparse_linear_correlated_n1000_p300_k5_random_forest,sparse_linear_correlated,random_forest,1000,300,5,0.375,0.0,-0.95,0.95,1.2208648689617034,0.2015888783924349,0.2026448252860016
