scenario_id,scenario_name,n,p,n_obs,n_covariates,n_folds,dgp_name,learner_name,n_rep,matched_specification,bias,median_bias,mae,rmse,coverage,ci_length,mean_ci_length,empirical_sd,mean_se,se_ratio,variance_ratio,non_convergence_rate,n_replications_total,n_replications_success,n_replications_failed,t_stat_mean,t_stat_sd,mean_fold_train_size,mean_fold_test_size,mean_fold_ratio,max_fold_ratio,mean_condition_number,max_condition_number,mean_min_eigenvalue,min_min_eigenvalue,rank_deficiency_rate,mean_nuisance_mse_y,mean_nuisance_mse_d,mean_nuisance_r2_y,mean_nuisance_r2_d
758,step_confounding_n1000_p100_k5_random_forest,1000,100,1000,100,5,step_confounding,random_forest,10,False,0.2719268020681085,0.2804803864473888,0.2719268020681085,0.27302934905830706,0.0,0.10778642723644816,0.10778642723644816,0.02583795150580355,0.02749653756031837,1.064191855694995,0.939680185155079,0.0,10,10,0,9.889149763988394,0.8935938510790786,800.0,200.0,0.125,0.125,4.1991034490854835,4.434950986475566,0.42862000574170817,0.4090001080931483,0.0,10.514142256800035,4.22495841068761,0.587831855858272,0.514089920724319
778,step_confounding_n1000_p100_k10_random_forest,1000,100,1000,100,10,step_confounding,random_forest,10,False,0.262187299558261,0.2629113459634861,0.262187299558261,0.26335926777124247,0.0,0.10451194809026595,0.10451194809026595,0.026160272495855907,0.026661211247516782,1.0191488353854201,0.9812109529829582,0.0,10,10,0,9.834747649983447,0.954476309757858,900.0,100.0,0.11111111111111112,0.1111111111111111,3.7794862015488966,4.007035541404528,0.4613946242521726,0.4410981214184282,0.0,10.314135298668198,4.1959333270724795,0.6006253457947155,0.522103305755681
798,step_confounding_n1000_p150_k2_random_forest,1000,150,1000,150,2,step_confounding,random_forest,10,False,0.32589744474469784,0.3318551955033494,0.32589744474469784,0.32671351293681106,0.0,0.10517515481371817,0.10517515481371817,0.02432591312408346,0.02683039663615257,1.1029553751710799,0.9066549948540661,0.0,10,10,0,12.150018993637222,0.8223670352132509,500.0,500.0,0.29999999999999993,0.3,11.147909906292139,12.029019574225662,0.21100723667196425,0.1967527931263703,0.0,13.909554321065775,5.323305421061176,0.46092338851733167,0.39658560674774634
818,step_confounding_n1000_p150_k5_random_forest,1000,150,1000,150,5,step_confounding,random_forest,10,False,0.31919173528731726,0.31819679453741767,0.31919173528731726,0.3196779053886529,0.0,0.10484887472081386,0.10484887472081386,0.018577145993808605,0.026747161918574902,1.43978854058041,0.6945464363793854,0.0,10,10,0,11.943870037866597,0.7630101870934493,800.0,200.0,0.1875,0.1875,6.1132596593437265,6.779085683452661,0.3296216528597267,0.305475436724718,0.0,12.580070099102922,4.8287842480182945,0.5155960573734901,0.45492332275258046
838,step_confounding_n1000_p150_k10_random_forest,1000,150,1000,150,10,step_confounding,random_forest,10,False,0.30670095923926055,0.3076485853585761,0.30670095923926055,0.30682547356885465,0.0,0.10598962779495473,0.10598962779495473,0.009213084443657777,0.027038170355855762,2.9347576830763393,0.3407436347357159,0.0,10,10,0,11.356553548961033,0.4445451665917618,900.0,100.0,0.16666666666666657,0.1666666666666666,5.409861596103563,5.750963376803347,0.36061353292701553,0.3387421107685395,0.0,12.19151713895619,4.7524689842277,0.5237618641192743,0.4551747081747982
858,step_confounding_n1000_p300_k2_random_forest,1000,300,1000,300,2,step_confounding,random_forest,10,False,0.36283677360093075,0.357081433248182,0.36283677360093075,0.3637535492493613,0.0,0.10517129764534912,0.10517129764534912,0.02720539804226846,0.02682941266462982,0.9861797509062546,1.0140139250284192,0.0,10,10,0,13.534199803460918,0.8514230310388918,500.0,500.0,0.5999999999999999,0.6,58.48863871954707,64.35508183467627,0.05304972001890005,0.0484359044188147,0.0,15.949701085432125,5.8580118477182745,0.35649823351199506,0.3036877979054431
878,step_confounding_n1000_p300_k5_random_forest,1000,300,1000,300,5,step_confounding,random_forest,10,False,0.3472146267258087,0.34175571862327114,0.3472146267258087,0.34831625595922633,0.0,0.10541094670399112,0.10541094670399112,0.02917794359349342,0.02689054762856914,0.9216053058161933,1.0850631975413583,0.0,10,10,0,12.942497155985649,1.28880372830091,800.0,200.0,0.375,0.375,16.51599301303511,18.18095859653909,0.15559165229032845,0.1431640200405994,0.0,15.074139720751784,5.635269892515239,0.41034414476647607,0.35338717069245185
898,step_confounding_n1000_p300_k10_random_forest,1000,300,1000,300,10,step_confounding,random_forest,10,False,0.35776063878634357,0.3553456004054456,0.35776063878634357,0.3586829813547145,0.0,0.10657019433704566,0.10657019433704566,0.027096667459996338,0.02718627406557283,1.0033069234697876,0.9967039762285791,0.0,10,10,0,13.179091294430009,1.1451443251862947,900.0,100.0,0.33333333333333337,0.3333333333333333,13.438704368074017,14.449346559736508,0.18249311066034796,0.1706639448499726,0.0,14.78368313460199,5.42182950937123,0.4163740960707102,0.3553482165057071
19,step_confounding_n250_p25_k2_gradient_boosting,250,25,250,25,2,step_confounding,gradient_boosting,10,False,-0.15288101245333396,-0.14947085481435873,0.15577457264677216,0.17544407555678324,0.4,0.2477929736496897,0.2477929736496897,0.09072559163162662,0.06321249327798203,0.6967437978761704,1.4352477956003653,0.0,10,10,0,-2.394967814748049,1.462043064367291,125.0,125.0,0.2,0.2,5.780183027336354,7.179202033725416,0.3468599731293448,0.2948260844800109,0.0,3.5553636962572517,2.0023058259680866,0.853569218293844,0.7642829478618843
39,step_confounding_n250_p25_k5_gradient_boosting,250,25,250,25,5,step_confounding,gradient_boosting,10,False,-0.17079238589822732,-0.15513867133552967,0.17079238589822732,0.1802911523980636,0.3,0.24748070351632986,0.24748070351632986,0.06087200188567629,0.06313283252967596,1.0371407309430325,0.9641893044647261,0.0,10,10,0,-2.728300076640285,1.0146011812792919,200.0,50.0,0.125,0.125,3.9855562110278817,4.761014118663721,0.44125007206047184,0.3665546976416151,0.0,3.181086224136508,1.847363097192487,0.8769419433340564,0.7908339944959321
59,step_confounding_n250_p25_k10_gradient_boosting,250,25,250,25,10,step_confounding,gradient_boosting,10,False,-0.18844493906593124,-0.19585023476651053,0.18844493906593124,0.2001532454869079,0.4,0.24552783436935793,0.24552783436935793,0.07110107531129249,0.06263465162483618,0.8809241119154826,1.1351715618563314,0.0,10,10,0,-3.022771540105267,1.1866110754143664,225.0,25.0,0.11111111111111112,0.1111111111111111,3.6161234305268897,4.264751084305989,0.46756234691062615,0.3878458345920977,0.0,3.157837913441276,1.920268613790555,0.8641833166854387,0.7586108323674366
79,step_confounding_n250_p50_k2_gradient_boosting,250,50,250,50,2,step_confounding,gradient_boosting,10,False,-0.15661663096215467,-0.15398925982085954,0.15661663096215467,0.17371351872292318,0.3,0.24707894117880605,0.24707894117880605,0.07921572159590289,0.0630303421374505,0.7956797068514048,1.2567871109307462,0.0,10,10,0,-2.5284879241986116,1.3292768763744953,125.0,125.0,0.4,0.4,16.468168027060663,19.88456814832916,0.15502916598183608,0.1275329000798464,0.0,3.769530061020388,2.2358197271842775,0.8534625549953366,0.7510164763447644
99,step_confounding_n250_p50_k5_gradient_boosting,250,50,250,50,5,step_confounding,gradient_boosting,10,False,-0.20883555263423004,-0.20372664325894618,0.20883555263423004,0.2209849027994591,0.1,0.24125120238652192,0.24125120238652192,0.07617260532094282,0.06154367407819433,0.807950231174167,1.2376999986084953,0.0,10,10,0,-3.451645888310231,1.285880400071754,200.0,50.0,0.25,0.25,8.012707676559474,10.404766113777413,0.26933653961372106,0.1957075307663073,0.0,3.360839502175387,2.0889999057441035,0.8640223403347692,0.75739388566557
