scenario_id,scenario_name,replication,dgp_name,learner_name,n,p,n_obs,n_covariates,n_folds,theta_true,theta_0,data_seed,split_seed,learner_g_seed,learner_m_seed,learner_y,learner_d,theta_hat,se,t_stat,ci_lower,ci_upper,ci_length,covered,error,squared_error,failed,failure_reason,mean_fold_train_size,mean_fold_test_size,mean_fold_ratio,max_fold_ratio,mean_condition_number,max_condition_number,mean_min_eigenvalue,min_min_eigenvalue,rank_deficiency_rate,mean_nuisance_mse_y,mean_nuisance_mse_d,mean_nuisance_r2_y,mean_nuisance_r2_d
430,interaction_confounding_n500_p100_k2_ols,3,interaction_confounding,ols,500,100,500,100,2,1.0,1.0,3453209870,3556406377,766590095,2806225331,OLSLearner,OLSLearner,1.374155763273512,0.051940202547257,7.2035869119511435,1.2723529662808883,1.4759585602661356,0.20360559398524725,False,0.37415576327351197,0.13999253519078433,False,,250.0,250.0,0.4,0.4,16.80906674422583,17.474304628732934,0.150507668641503,0.14853426720263008,0.0,9.723460306320174,3.4366555532397447,-0.5020011767316518,-0.43889344293083377
430,interaction_confounding_n500_p100_k2_ols,4,interaction_confounding,ols,500,100,500,100,2,1.0,1.0,708806339,3887214743,4051722658,2303040421,OLSLearner,OLSLearner,1.4659135014832396,0.04446062164852643,10.47923947547147,1.3787706830521278,1.5530563199143514,0.17428563686222365,False,0.4659135014832396,0.21707539086437272,False,,250.0,250.0,0.4,0.4,19.036133658638004,19.28324778837896,0.14281207663465945,0.14126526735861772,0.0,12.866486238753772,4.160497930745358,-0.9194163365342254,-0.7209307482382693
430,interaction_confounding_n500_p100_k2_ols,5,interaction_confounding,ols,500,100,500,100,2,1.0,1.0,778218611,3711806491,1989061093,946510495,OLSLearner,OLSLearner,1.3900789698880665,0.041578302042272045,9.381791721352135,1.3085854978852132,1.4715724418909197,0.16298694400570657,False,0.39007896988806645,0.15216160274893506,False,,250.0,250.0,0.4,0.4,17.783289550190204,18.80983157518154,0.13879726519523844,0.13053617988957028,0.0,11.46363643623862,4.0723798088641905,-0.7937833432850836,-0.7084112978720677
430,interaction_confounding_n500_p100_k2_ols,6,interaction_confounding,ols,500,100,500,100,2,1.0,1.0,4087254550,2961455316,2851641871,1524214492,OLSLearner,OLSLearner,1.2708448207201115,0.04187910102332679,6.4673026426534355,1.188761782714391,1.352927858725832,0.16416607601144095,False,0.2708448207201115,0.07335691691090934,False,,250.0,250.0,0.4,0.4,17.132942570639784,17.624453452658518,0.1480818471630655,0.14506780040662345,0.0,10.718351010660907,4.369093139467092,-0.726455626567256,-0.630755182590422
430,interaction_confounding_n500_p100_k2_ols,7,interaction_confounding,ols,500,100,500,100,2,1.0,1.0,2463614617,261679457,3741670493,3995498316,OLSLearner,OLSLearner,1.3313438937459185,0.04208094959088971,7.873964275218082,1.2488652325477747,1.4138225549440624,0.1649573223962877,False,0.33134389374591855,0.10978877592270656,False,,250.0,250.0,0.4,0.4,17.700266246691193,18.507785907110552,0.1436084843641979,0.13689519212180437,0.0,11.144214974040136,4.195212163782404,-0.7315915819968737,-0.8233547466894975
430,interaction_confounding_n500_p100_k2_ols,8,interaction_confounding,ols,500,100,500,100,2,1.0,1.0,1876089502,3216693474,2585238049,819002155,OLSLearner,OLSLearner,1.2492170121985078,0.0474829079908359,5.248562540579995,1.1561505125364695,1.342283511860546,0.18613299932407656,False,0.24921701219850778,0.06210911916915118,False,,250.0,250.0,0.4,0.4,18.30056487866287,19.266834765663432,0.1456654108342228,0.13745022993892733,0.0,11.188785948677104,4.434913784869316,-0.7057535547585069,-0.7970883990966179
430,interaction_confounding_n500_p100_k2_ols,9,interaction_confounding,ols,500,100,500,100,2,1.0,1.0,133140015,1590924219,4278262562,1780817744,OLSLearner,OLSLearner,1.2487395518648579,0.050717209972946126,4.9044407607899165,1.1493338203178833,1.3481452834118324,0.19881146309394904,False,0.24873955186485786,0.061871364661930314,False,,250.0,250.0,0.4,0.4,18.12566645850001,18.170648270500244,0.14221151692799355,0.1385625132255622,0.0,10.491776823448454,4.003411000877658,-0.5577244756590569,-0.6180233498526957
431,interaction_confounding_n500_p100_k2_lasso,0,interaction_confounding,lasso,500,100,500,100,2,1.0,1.0,1996483627,2609053334,1082503638,2136075760,LassoCVLearner,LassoCVLearner,1.2221406979172083,0.04730579030710062,4.6958458251117055,1.1294213489152911,1.3148600469191254,0.18543869800383428,False,0.22214069791720825,0.04934648967114437,False,,250.0,250.0,0.4,0.4,18.615572425552568,21.656821222637536,0.14133738298014656,0.11783371399044394,0.0,6.545347637531593,2.817355864107913,-0.00663217576567765,-0.001367239738046977
431,interaction_confounding_n500_p100_k2_lasso,1,interaction_confounding,lasso,500,100,500,100,2,1.0,1.0,3975781435,19738231,1460279871,3650737438,LassoCVLearner,LassoCVLearner,1.3027240643560714,0.053264159304700014,5.683447712453787,1.1983263121188594,1.4071218165932833,0.20879550447442385,False,0.30272406435607135,0.09164185914025882,False,,250.0,250.0,0.4,0.4,17.047332635909477,17.165515843481806,0.14883955640971974,0.14670071675832447,0.0,6.379236200911148,2.395688427282557,-0.012831227361193354,-0.0011601549132296274
431,interaction_confounding_n500_p100_k2_lasso,2,interaction_confounding,lasso,500,100,500,100,2,1.0,1.0,3795929102,2841982676,1214270656,2186710580,LassoCVLearner,LassoCVLearner,1.317376608808683,0.04282006915401922,7.411865862876425,1.2334492732668052,1.4013039443505606,0.1678546710837554,False,0.3173766088086829,0.10072791181889974,False,,250.0,250.0,0.4,0.4,16.82766213465458,17.44508340688319,0.15463767315901306,0.15055122858761202,0.0,7.019453448107633,2.8279119303831886,-0.026368141350115892,-0.014720880617185128
